healthy            GREEN(ok)
mutate=1          RED(ok)
mutate=2          RED(ok)
mutate=3          RED(ok)
mutate=4          RED(ok)
mutate=5          RED(ok)
mutate=6          RED(ok)
mutate=7          RED(ok)
mutate=8          RED(ok)
mutate=9          RED(ok)
mutate=10         RED(ok)
mutate=11         RED(ok)
mutate=12         RED(ok)
mutate=13         RED(ok)
mutate=14         RED(ok)
mutate=15         RED(ok)
mutate=16         RED(ok)
mutate=17         RED(ok)
mutate=18         RED(ok)
mutate=19         RED(ok)
mutate=20         RED(ok)
mutate=21         RED(ok)
mutate=22         RED(ok)
mutate=23         RED(ok)
mutate=24         RED(ok)
mutate=25         RED(ok)
mutate=26         RED(ok)
mutate=27         RED(ok)
mutate=28         RED(ok)
