trait	fac	tier	figH	kind	type	inst	unit	ratio	p50	ratio50	over	groupMax	atFrame	frames
eliteSelfCut	zuling	1	2.2372	emblem:knife	prop	-	1.1281	0.504	1.1281	0.504		1.1281	6	18
eliteSelfCut	zuling	1	2.2372	prop:knife	prop	inst	0.255	0.114	0	0		0.0864	11	18
eliteSelfCut	zuling	1	2.2372	floor:pillar	other	-	1.3	0.581	1.3	0.581		1.3	0	18
wardAtkAll1	xianghuo	1	1.4377	emblem:flag	prop	-	0.9433	0.656	0.7328	0.51		0.9433	9	18
wardAtkAll1	xianghuo	1	1.4377	mark:flag	prop	-	0.6541	0.455	0.6541	0.455		0.6541	0	36
wardAtkAll1	xianghuo	1	1.4377	ring	other	-	0.68	0.473	0.68	0.473		0.68	0	18
wardAtkAll1	xianghuo	1	1.4377	trail	other	-	0	0	0	0		0	0	18
eliteCleave	xianghuo	1	2.0338	emblem:blade	prop	-	1.1813	0.581	0.8029	0.395		1.1813	10	18
eliteCleave	xianghuo	1	2.0338	ring	other	-	0.68	0.334	0.68	0.334		0.68	0	18
eliteCleave	xianghuo	1	2.0338	trail	other	-	0	0	0	0		0	0	18
wardAbsorb4	xianghuo	1	1.5517	prop:boat	prop	inst	0.9597	0.618	0.7872	0.507		0.04	12	18
wardAbsorb4	xianghuo	1	1.5517	emblem:boat	prop	-	1.012	0.652	0.7481	0.482		1.012	12	18
wardAbsorb4	xianghuo	1	1.5517	mark:boat	prop	-	0.6347	0.409	0.5984	0.386		0.6347	13	36
wardAbsorb4	xianghuo	1	1.5517	ring	other	-	0.68	0.438	0.68	0.438		0.68	0	18
wardImmuneLost	xianghuo	1	1.6006	emblem:bell	prop	-	0.998	0.624	0.6487	0.405		0.998	10	18
wardImmuneLost	xianghuo	1	1.6006	floor:bell	other	inst	2.1	1.312	1.2474	0.779		0.004	15	18
wardImmuneLost	xianghuo	1	1.6006	mark:bell	prop	-	0.7076	0.442	0.6478	0.405		0.7076	13	18
wardImmuneLost	xianghuo	1	1.6006	ring	other	-	0.68	0.425	0.68	0.425		0.68	0	18
swarmRally	xianghuo	1	1.0645	emblem:banner5	prop	-	0.7041	0.661	0.536	0.504		0.7041	12	90
swarmRally	xianghuo	1	1.0645	floor:banner5	other	inst	2.4	2.255	1.4878	1.398		0	15	18
swarmRally	xianghuo	1	1.0645	ring	other	-	0.68	0.639	0.68	0.639		0.68	0	18
biteGamble	xianghuo	1	1.9619	emblem:seal	prop	-	1.176	0.599	0.9562	0.487		1.176	13	18
biteGamble	xianghuo	1	1.9619	ring	other	-	1.44	0.734	0.88	0.449		1.44	15	36
biteGamble	xianghuo	1	1.9619	prop:seal	prop	inst	0.276	0.141	0.145	0.074		0.72	15	54
wardHpFirst	xianghuo	1	1.5667	prop:talis	prop	inst	0.186	0.119	0.186	0.119		0.1491	1	18
wardHpFirst	xianghuo	1	1.5667	emblem:talis	prop	-	1.004	0.641	0.724	0.462		1.004	12	18
wardHpFirst	xianghuo	1	1.5667	ring	other	-	0.68	0.434	0.68	0.434		0.68	0	18
wardRegen1	xianghuo	1	1.6467	emblem:lamp	prop	-	0.938	0.57	0.7246	0.44		0.938	10	18
wardRegen1	xianghuo	1	1.6467	mark:lamp	prop	-	0.6451	0.392	0.5369	0.326		0.6451	13	18
wardRegen1	xianghuo	1	1.6467	ring	other	-	0.68	0.413	0.68	0.413		0.68	0	18
wardRegen1	xianghuo	1	1.6467	trail	other	-	0	0	0	0		0	0	18
swarmLastStand	xianghuo	1	1.1229	emblem:tornflag	prop	-	0.9183	0.818	0.6864	0.611	OVER	0.9183	12	18
swarmLastStand	xianghuo	1	1.1229	ring	other	-	0.68	0.606	0.68	0.606		0.68	0	18
