trait	fac	tier	figH	kind	type	inst	unit	ratio	p50	ratio50	over	groupMax	atFrame	frames
eliteOpenShot	zuling	2	2.0205	emblem:sun	prop	-	0.8695	0.43	0.8695	0.43		0.8695	17	55
eliteOpenShot	zuling	2	2.0205	prop:sun	prop	inst	0.72	0.356	0.72	0.356		0.6	3	55
eliteOpenShot	zuling	2	2.0205	mark:sun	prop	-	0.9227	0.457	0.6583	0.326		0.9227	34	55
eliteOpenShot	zuling	2	2.0205	floor:pillar	other	-	1.32	0.653	1.32	0.653		1.32	0	55
eliteOpenShot	zuling	2	2.0205	trail	other	-	0	0	0	0		0	0	55
wardHpFront2	zuling	2	1.5872	prop:rhomb	prop	inst	0.51	0.321	0.51	0.321		0.32	3	55
wardHpFront2	zuling	2	1.5872	emblem:rhomb	prop	-	1.0149	0.639	1.0149	0.639		1.0149	18	55
wardHpFront2	zuling	2	1.5872	mark:rhomb	prop	-	0.5789	0.365	0.5789	0.365		0.5789	0	110
wardHpFront2	zuling	2	1.5872	floor:pillar	other	-	1.24	0.781	1.24	0.781		1.24	0	55
eliteArmor	zuling	2	2.0911	prop:bead	prop	inst	0.204	0.098	0.204	0.098		0.095	3	55
eliteArmor	zuling	2	2.0911	emblem:bead	prop	-	0.7052	0.337	0.7052	0.337		0.7052	18	55
eliteArmor	zuling	2	2.0911	mark:bead	prop	-	0.5354	0.256	0.5354	0.256		0.5354	0	55
eliteArmor	zuling	2	2.0911	floor:pillar	other	-	1.28	0.612	1.28	0.612		1.28	0	55
wardFirst	zuling	2	1.6404	emblem:eye	prop	-	1.0709	0.653	1.0709	0.653		1.0709	18	55
wardFirst	zuling	2	1.6404	mark:eye	prop	-	0.5855	0.357	0.5855	0.357		0.5855	0	110
wardFirst	zuling	2	1.6404	floor:pillar	other	-	1.26	0.768	1.26	0.768		1.26	0	55
boltGamble	zuling	2	1.9187	prop:bolt	prop	inst	0.45	0.235	0.45	0.235		0.156	3	55
boltGamble	zuling	2	1.9187	emblem:bolt	prop	-	1.14	0.594	1.14	0.594		1.14	18	55
boltGamble	zuling	2	1.9187	mark:bolt	prop	-	0.594	0.31	0.594	0.31		0.594	0	55
boltGamble	zuling	2	1.9187	floor:pillar	other	-	1.3	0.678	1.3	0.678		1.3	0	55
boltGamble	zuling	2	1.9187	trail	other	-	0	0	0	0		0	0	55
swarmHalfSplash	zuling	2	0.8054	prop:wave	prop	inst	0.2976	0.37	0.2976	0.37		0.12	3	55
swarmHalfSplash	zuling	2	0.8054	emblem:wave	prop	-	0.8434	1.047	0.8434	1.047	OVER	0.8434	18	55
swarmHalfSplash	zuling	2	0.8054	mark:wave	prop	-	0.468	0.581	0.468	0.581		0.468	0	165
swarmHalfSplash	zuling	2	0.8054	floor:pillar	other	-	1.16	1.44	1.16	1.44		1.16	0	55
swarmThorn	zuling	2	1.1178	prop:tusk	prop	inst	0.4845	0.433	0.4845	0.433		0.16	3	55
swarmThorn	zuling	2	1.1178	emblem:tusk	prop	-	0.7276	0.651	0.7276	0.651		0.7276	17	55
swarmThorn	zuling	2	1.1178	mark:tusk	prop	-	0.6143	0.55	0.6143	0.55		0.6143	0	55
swarmThorn	zuling	2	1.1178	floor:pillar	other	-	1.14	1.02	1.14	1.02		1.14	0	55
swarmThorn	zuling	2	1.1178	trail	other	-	0	0	0	0		0	0	55
eliteSelfCut	zuling	2	2.2372	emblem:knife	prop	-	1.1281	0.504	1.1281	0.504		1.1281	18	55
eliteSelfCut	zuling	2	2.2372	prop:knife	prop	inst	0.255	0.114	0.169	0.076		0.0864	29	55
eliteSelfCut	zuling	2	2.2372	floor:pillar	other	-	1.3	0.581	1.3	0.581		1.3	0	55
wardHpAll1	zuling	2	1.6118	prop:crag	prop	inst	0.2394	0.149	0.2394	0.149		0.12	3	55
wardHpAll1	zuling	2	1.6118	emblem:crag	prop	-	0.8257	0.512	0.8257	0.512		0.8257	18	55
wardHpAll1	zuling	2	1.6118	mark:crag	prop	-	0.6365	0.395	0.6365	0.395		0.6365	0	110
wardHpAll1	zuling	2	1.6118	floor:pillar	other	-	1.26	0.782	1.26	0.782		1.26	0	55
wardAtkAll1	xianghuo	2	1.4377	emblem:flag	prop	-	0.9433	0.656	0.6957	0.484		0.9433	25	55
wardAtkAll1	xianghuo	2	1.4377	mark:flag	prop	-	0.8986	0.625	0.6541	0.455		0.8986	34	110
wardAtkAll1	xianghuo	2	1.4377	ring	other	-	0.68	0.473	0.68	0.473		0.68	0	55
wardAtkAll1	xianghuo	2	1.4377	trail	other	-	0	0	0	0		0	0	55
eliteCleave	xianghuo	2	2.0338	emblem:blade	prop	-	1.1813	0.581	0.7779	0.382		1.1813	26	55
eliteCleave	xianghuo	2	2.0338	ring	other	-	0.68	0.334	0.68	0.334		0.68	0	55
eliteCleave	xianghuo	2	2.0338	trail	other	-	0	0	0	0		0	0	55
wardAbsorb4	xianghuo	2	1.5517	prop:boat	prop	inst	0.96	0.619	0.7872	0.507		0.04	33	55
wardAbsorb4	xianghuo	2	1.5517	emblem:boat	prop	-	1.0121	0.652	0.7481	0.482		1.0121	33	55
wardAbsorb4	xianghuo	2	1.5517	mark:boat	prop	-	0.9757	0.629	0.5984	0.386		0.9757	36	110
wardAbsorb4	xianghuo	2	1.5517	ring	other	-	0.68	0.438	0.68	0.438		0.68	0	55
wardImmuneLost	xianghuo	2	1.6006	emblem:bell	prop	-	0.9838	0.615	0.6371	0.398		0.9838	28	55
wardImmuneLost	xianghuo	2	1.6006	floor:bell	other	inst	2.1	1.312	1.3334	0.833		0.004	42	55
wardImmuneLost	xianghuo	2	1.6006	mark:bell	prop	-	1.0091	0.63	0.6478	0.405		1.0091	34	55
wardImmuneLost	xianghuo	2	1.6006	ring	other	-	0.68	0.425	0.68	0.425		0.68	0	55
swarmRally	xianghuo	2	1.0645	emblem:banner5	prop	-	0.7042	0.662	0.5289	0.497		0.7042	33	275
swarmRally	xianghuo	2	1.0645	floor:banner5	other	inst	2.4	2.255	1.6637	1.563		0	43	55
swarmRally	xianghuo	2	1.0645	ring	other	-	0.68	0.639	0.68	0.639		0.68	0	55
biteGamble	xianghuo	2	1.9658	emblem:seal	prop	-	1.1936	0.607	0.9557	0.486		1.1936	34	55
biteGamble	xianghuo	2	1.9658	ring	other	-	1.44	0.733	0.88	0.448		1.44	44	110
biteGamble	xianghuo	2	1.9658	prop:seal	prop	inst	0.276	0.14	0.145	0.074		0.72	42	165
wardHpFirst	xianghuo	2	1.5667	prop:talis	prop	inst	0.186	0.119	0.186	0.119		0.1491	3	55
wardHpFirst	xianghuo	2	1.5667	emblem:talis	prop	-	1.0041	0.641	0.6748	0.431		1.0041	33	55
wardHpFirst	xianghuo	2	1.5667	ring	other	-	0.68	0.434	0.68	0.434		0.68	0	55
wardRegen1	xianghuo	2	1.6467	emblem:lamp	prop	-	0.9517	0.578	0.7246	0.44		0.9517	27	55
wardRegen1	xianghuo	2	1.6467	mark:lamp	prop	-	0.92	0.559	0.5369	0.326		0.92	34	55
wardRegen1	xianghuo	2	1.6467	ring	other	-	0.68	0.413	0.68	0.413		0.68	0	55
wardRegen1	xianghuo	2	1.6467	trail	other	-	0	0	0	0		0	0	55
swarmLastStand	xianghuo	2	1.1229	emblem:tornflag	prop	-	0.9184	0.818	0.6864	0.611	OVER	0.9184	33	55
swarmLastStand	xianghuo	2	1.1229	ring	other	-	0.68	0.606	0.68	0.606		0.68	0	55
hauntLost	yinqi	2	1.116	orb	other	-	0.1196	0.107	0.0598	0.054		0.1196	27	120
hauntSteal	yinqi	2	1.1048	bolt	other	-	3.1951	2.892	3.0002	2.716		3.1951	15	160
hauntSteal	yinqi	2	1.1048	orb	other	-	0.09	0.081	0.09	0.081		0.09	15	160
hauntSee	yinqi	2	1.1743	ring	other	-	1.144	0.974	1.1439	0.974		1.144	38	35
hauntSee	yinqi	2	1.1743	beam	other	-	2.7047	2.303	2.5097	2.137		2.7047	20	140
hauntDread1	yinqi	2	1.1118	ring	other	-	2.5872	2.327	2.5872	2.327		2.5872	35	39
hauntSwap	yinqi	2	1.1485	bolt	other	-	2.5234	2.197	2.5234	2.197		2.5234	19	36
hauntSwap	yinqi	2	1.1485	ring	other	-	0.986	0.859	0.9809	0.854		0.986	41	33
eliteVsSwarm	yinqi	2	1.8135	orb	other	-	0.1375	0.076	0.1375	0.076		0.1375	24	55
swarmPierce	yinqi	2	0.9046	beam	other	-	4.6987	5.194	4.6987	5.194		4.6987	16	78
